value,id,order
法学課程,1,1
学科不明,2,2
経営学科,3,3
経済学科,4,4
人文科学科,5,5
教育学科,6,6
保健科学専攻,7,7
課程不明,8,8
化学科,9,9
数学科,10,10
生物科学科,11,11
地球惑星科学科,12,12
物理学科,13,13
応用理工系学科,14,14
環境社会工学科,15,15
機械知能工学科,16,16
情報エレクトロニクス学科,17,17
応用生命科学科,18,18
森林科学科,19,19
生物環境工学科,20,20
生物機能化学科,21,21
生物資源科学科,22,22
畜産科学科,23,23
農業経済学科,24,24
共同獣医学課程,25,25
海洋資源科学科,26,26
資源機能化学科,27,27
増殖生命科学科,28,28
海洋生物科学科,29,29
薬科学科,30,30
薬学科,31,31
医学科,32,32
保健学科,33,33
歯学科,34,34
観光創造専攻,35,35
国際広報メディア専攻,36,36
医療薬学専攻,37,37
創薬科学専攻,38,38
法律実務専攻,39,39
法学政治学専攻,40,40
共同資源工学専攻,41,41
エネルギー環境システム専攻,42,42
環境フィールド工学専攻,43,43
環境循環システム専攻,44,44
環境創生工学専攻,45,45
機械宇宙工学専攻,46,46
空間性能システム専攻,47,47
建築都市空間デザイン専攻,48,48
人間機械システムデザイン専攻,49,49
北方圏環境政策工学専攻,50,50
応用物理学専攻,51,51
材料科学専攻,52,52
量子理工学専攻,53,53
総合化学専攻,54,54
公共政策学専攻,55,55
環境起学専攻,56,56
環境物質科学専攻,57,57
生物圏科学専攻,58,58
地球圏科学専攻,59,59
環境生物科学部門,60,60
地球圏科学部門,61,61
統合環境科学部門,62,62
物質機能科学部門,63,63
海洋生物資源科学専攻,64,64
海洋応用生命科学専攻,65,65
数学専攻,66,66
物性物理学専攻,67,67
宇宙理学専攻,68,68
自然史科学専攻,69,69
ソフトマター専攻,70,70
生命科学専攻,71,71
臨床薬学専攻,72,72
農学専攻,73,73
教育学専攻,74,74
国際広報メディア・観光学専攻,75,75
獣医学専攻,76,76
感染症学専攻,77,77
医理工学専攻,78,78
国際食資源学専攻,79,79
医科学専攻,80,80
医学専攻,81,81
会計情報専攻,82,82
現代経済経営専攻,83,83
口腔医学専攻,84,84
情報科学専攻,85,85
学科なし,86,86
人間科学専攻,87,87
人文学専攻,88,88
教員養成課程,89,89
芸術・スポーツ文化学科,90,90
