value,id,order
フロントエンジニア（モバイル系）,1,1
フロントエンジニア（汎用系）,2,2
システム開発（制御・組み込み）,3,3
運用・保守,4,4
サーバーエンジニア（バックエンド）,5,5
インフラエンジニア,6,6
ネットワークエンジニア,7,7
セキュリティーエンジニア,8,8
機械学習・データサイエンティスト,9,9
AR/VRエンジニア,10,10
ブロックチェーンエンジニア,11,11
フルスタックエンジニア,12,12
セールスエンジニア・ITコンサルタント,13,13
データベースエンジニア,14,14
UI /UXデザイナー,15,15
Webデザイナー,16,16
Webディレクター,17,17
フロントエンジニア（Web／オープン系）,18,18
Web開発エンジニア,19,19
ゲーム開発エンジニア,20,20
モバイルエンジニア,21,21
エンジニア（全般）,22,22
システムエンジニア（SE）,23,23
プロジェクトマネージャー（PM）,24,24
プロダクトマネージャー(PdM),25,25
研究・特許・品質管理,26,26
SRE,27,27
その他,28,28
test職,29,29
てすと,30,30
nishi,31,31
SStest01職種,32,32
その他2,33,33
その他3,34,34
