value,id,order
P検,1,1
応用情報技術者,2,2
基本情報処理技術者,3,3
情報セキュリティマネジメント,4,4
情報処理安全確保支援士,5,5
日商PC（文書作成j・データ活用・プレゼン資料作成）3級,6,6
ネットワークスペシャリスト,7,7
日商PC（文書作成j・データ活用・プレゼン資料作成）Basic,8,8
データベーススペシャリスト,9,9
プロジェクトマネージャ,10,10
日商PC（文書作成j・データ活用・プレゼン資料作成）2級,11,11
CGクリエイター検定ベーシック,12,12
ITストラテジスト,13,13
2次元CAD利用技術者試験2級,14,14
システムアーキテクト,15,15
3次元CAD利用技術者試験2級,16,16
ウェブデザイン技能検定3級,17,17
CGエンジニア検定ベーシック,18,18
CGクリエイター検定エキスパート,19,19
エンベデッドシステムスぺシャリスト,20,20
マルチメディア検定ベーシック,21,21
システム監査技術者,22,22
ITサービスマネージャ,23,23
Webデザイナー検定ベーシック,24,24
画像処理エンジニア検定ベーシック,25,25
CGエンジニア検定エキスパート,26,26
画像処理エンジニア検定エキスパート,27,27
情報検定（J検）基本スキル,28,28
マルチメディア検定エキスパート,29,29
ウェブデザイン技能検定2級,30,30
情報検定（J検）2級,31,31
ディジタル技術検定3級,32,32
情報検定（J検）1級,33,33
Webデザイナー検定エキスパート,34,34
情報検定（J検）3級,35,35
情報検定（J検）プログラミングスキル,36,36
3次元CAD利用技術者試験準1級,37,37
2次元CAD利用技術者試験基礎,38,38
ディジタル技術検定2級制御,39,39
ディジタル技術検定2級情報,40,40
情報検定（J検）システムデザインスキル,41,41
情報検索応用能力試験→検索技術者検定1級,42,42
ITコーディネータ試験,43,43
3次元CAD利用技術者試験1級,44,44
2次元CAD利用技術者試験1級(機械),45,45
ITコーディネータ試験専門スキル特別認定試験,46,46
2次元CAD利用技術者試験1級(建築),47,47
DTPエキスパート学科,48,48
情報検索応用能力試験→検索技術者検定3級,49,49
ディジタル技術検定4級,50,50
2次元CAD利用技術者試験1級(トレース),51,51
日商PC（文書作成j・データ活用・プレゼン資料作成）1級,52,52
ディジタル技術検定1級制御,53,53
ウェブデザイン技能検定1級学科,54,54
ディジタル技術検定1級情報,55,55
情報検索応用能力試験→検索技術者検定2級,56,56
